timestamp,intersection_id,intersection_name,district,lane_id,vehicle_count,vehicle_type,queue_length,avg_speed,inflow,outflow,weather,signal_state,congestion_index,cycle_sec,yellow_sec,green_sec,red_sec,LOS
1/1/2025 0:00,1,Баруун 4 зам,СБД,1,0,bus,0,0,0,0,Fog,green,0.25,120,3,65,52,B
1/1/2025 0:00,1,Баруун 4 зам,СБД,2,10,car,6.5,7.6,9,9,Snow,red,0.23,120,3,65,52,B
1/1/2025 0:00,1,Баруун 4 зам,СБД,3,7,car,5.7,10.1,7,5,Clear,red,0.23,120,3,65,52,B
1/1/2025 0:00,1,Баруун 4 зам,СБД,4,4,car,4.5,10.7,3,3,Cloudy,red,0.25,120,3,65,52,B
1/1/2025 0:15,1,Баруун 4 зам,СБД,1,10,car,16.4,10.6,9,9,Clear,green,0.3,120,3,65,52,C
1/1/2025 0:15,1,Баруун 4 зам,СБД,2,9,car,19.2,11.2,8,8,Cloudy,green,0.33,120,3,65,52,C
1/1/2025 0:15,1,Баруун 4 зам,СБД,3,4,bus,11.4,8.9,3,3,Rain,green,0.33,120,3,65,52,C
1/1/2025 0:15,1,Баруун 4 зам,СБД,4,11,car,7.5,10.7,11,8,Clear,red,0.34,120,3,65,52,C
1/1/2025 0:30,1,Баруун 4 зам,СБД,1,12,car,13.3,11.5,10,10,Clear,red,0.28,120,3,65,52,C
1/1/2025 0:30,1,Баруун 4 зам,СБД,2,13,car,9.2,8.8,12,11,Rain,red,0.32,120,3,65,52,C
1/1/2025 0:30,1,Баруун 4 зам,СБД,3,1,bus,10.4,11,1,0,Cloudy,red,0.31,120,3,65,52,C
1/1/2025 0:30,1,Баруун 4 зам,СБД,4,13,car,10.9,9.8,12,11,Cloudy,green,0.33,120,3,65,52,C
1/1/2025 0:45,1,Баруун 4 зам,СБД,1,0,bus,0,0,0,0,Clear,red,0.22,120,3,65,52,B
1/1/2025 0:45,1,Баруун 4 зам,СБД,2,2,bus,6.2,11,1,1,Cloudy,red,0.2,120,3,65,52,B
1/1/2025 0:45,1,Баруун 4 зам,СБД,3,2,bus,6.4,6.8,1,1,Snow,green,0.22,120,3,65,52,B
1/1/2025 0:45,1,Баруун 4 зам,СБД,4,7,car,4.3,12.3,7,6,Clear,green,0.19,120,3,65,52,B
1/1/2025 1:00,1,Баруун 4 зам,СБД,1,9,car,7.5,10.1,8,8,Clear,red,0.24,120,3,65,52,B
1/1/2025 1:00,1,Баруун 4 зам,СБД,2,9,car,12.2,11.5,8,8,Clear,green,0.25,120,3,65,52,B
1/1/2025 1:00,1,Баруун 4 зам,СБД,3,7,car,9,9.7,6,5,Cloudy,green,0.26,120,3,65,52,C
1/1/2025 1:00,1,Баруун 4 зам,СБД,4,11,car,4.1,10.3,11,9,Cloudy,red,0.26,120,3,65,52,C
1/1/2025 1:15,1,Баруун 4 зам,СБД,1,7,car,7.1,10,7,6,Rain,green,0.23,120,3,65,52,B
1/1/2025 1:15,1,Баруун 4 зам,СБД,2,6,car,3.7,12,5,5,Clear,green,0.25,120,3,65,52,B
1/1/2025 1:15,1,Баруун 4 зам,СБД,3,1,bus,8.7,9.5,0,0,Rain,red,0.23,120,3,65,52,B
1/1/2025 1:15,1,Баруун 4 зам,СБД,4,7,car,10.2,9.3,6,6,Cloudy,red,0.24,120,3,65,52,B
1/1/2025 1:30,1,Баруун 4 зам,СБД,1,9,car,10.2,6.6,8,8,Snow,green,0.28,120,3,65,52,C
1/1/2025 1:30,1,Баруун 4 зам,СБД,2,9,car,9.8,10.5,9,8,Rain,red,0.27,120,3,65,52,C
1/1/2025 1:30,1,Баруун 4 зам,СБД,3,10,car,9.4,7.9,10,9,Snow,red,0.3,120,3,65,52,C
1/1/2025 1:30,1,Баруун 4 зам,СБД,4,12,car,8.5,11.5,11,10,Clear,red,0.31,120,3,65,52,C
1/1/2025 1:45,1,Баруун 4 зам,СБД,1,11,car,6.7,10.5,11,10,Cloudy,green,0.28,120,3,65,52,C
1/1/2025 1:45,1,Баруун 4 зам,СБД,2,4,bus,11,10.9,4,3,Clear,green,0.29,120,3,65,52,C
